title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
3 Bedroom Apartment With Bq,3 Bedroom Apartment With Bq/Flat / Apartment FOR SALE,Old Ikoyi Ikoyi Lagos,1300000000,3.0,3.0,,26 May 2025,11 Nov 2025
Studio Apartment,Studio Apartment/Flat Apartment FOR Sale,"Atoyebi Courts, Basorun Ibadan Oyo",12000000,,,,19 Sep 2025,11 Nov 2025
1900sqm Plot Of Land,1900sqm Plot Of Land/Land FOR Sale,"Engr Lere Adigun Gra, Basorun Ibadan Oyo",390000000,,,,28 Aug 2025,11 Nov 2025
1800sqm Parcel Of Land,1800sqm Parcel Of Land/Land FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",390000000,,,,21 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Detached Duplex,Newly Built 4 Bedroom Detached Duplex/House FOR Sale,"Carlton Gate Estate, Akobo Ibadan Oyo",330000000,4.0,4.0,,01 Sep 2025,11 Nov 2025
Warehouse,Warehouse/Commercial Property FOR Sale,Oluyole Industrial Estate Oluyole Estate Ibadan Oyo,1500000000,,,,22 Sep 2025,11 Nov 2025
4 Bedroom Bungalow With Bq,4 Bedroom Bungalow With Bq/House FOR Sale,"Iyaganku Gra, Ibadan Oyo",550000000,4.0,,,15 Sep 2025,11 Nov 2025
1 Bedroom Flat,1 Bedroom Flat/Flat Apartment FOR Sale,"Behind Foodco, Ring Rd Ibadan Oyo",55000000,1.0,,,25 Sep 2025,11 Nov 2025
Land,Land/Land FOR Sale,"S&t Military Estate, Jericho Eleyele Road, Jericho, Jericho Ibadan Oyo",600000000,,,,11 Sep 2025,11 Nov 2025
Units Of 5 Bedroom Detached Duplex,Units Of 5 Bedroom Detached Duplex/House FOR Sale,"Agodi Gra, Agodi Ibadan Oyo",500000000,5.0,,,11 Sep 2025,11 Nov 2025
4 Bedroom Detached Duplex,4 Bedroom Detached Duplex/House FOR Sale,"Emmanuel Estate, Ile Tuntun, Jericho Extension, Jericho Ibadan Oyo",180000000,4.0,,,11 Sep 2025,11 Nov 2025
1000sqm Of Land,1000sqm Of Land/Land FOR Sale,"Near Adron Estate, Off Magazine Road, Jericho Main Gra, Jericho Ibadan Oyo",150000000,,,,25 Aug 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq,5 Bedroom Detached Duplex With Bq/House FOR SALE,Chevron Lekki Lagos,600000000,5.0,5.0,,05 Nov 2025,11 Nov 2025
Commercial Property,Commercial Property/Commercial Property FOR Sale,"Aare Avenue, New Bodija, Ibadan Oyo",215000000,,,,04 Sep 2025,11 Nov 2025
854sqm Plot Of Land,854sqm Plot Of Land/Land FOR Sale,"Engr Lere Adigun Gra, Basorun Ibadan Oyo",160000000,,,,08 Oct 2025,11 Nov 2025
Land,Land/Land FOR Sale,"Near Cbn Clinic, Onireke Gra, Jericho Ibadan Oyo",600000000,,,,01 Sep 2025,11 Nov 2025
470sqm Plot Of Land,470sqm Plot Of Land/Land FOR Sale,"Abdul Salam Estate, Akala Way, Akobo Ibadan Oyo",30000000,,,,25 Sep 2025,11 Nov 2025
Detached 3 Bedroom Bungalow With A Room Bq,Detached 3 Bedroom Bungalow With A Room Bq/House FOR Sale,"Abdulsalam Estate, Akala Way, Akobo Ibadan Oyo",83000000,3.0,4.0,,27 Sep 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex,4 Bedroom Fully Detached Duplex/House FOR Sale,"Ikolaba Gra, Ibadan Oyo",240000000,4.0,,,06 Oct 2025,11 Nov 2025
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Sale,"Behind Foodco, Ring Rd Ibadan Oyo",65000000,2.0,,,25 Sep 2025,11 Nov 2025
2079sqm Commercial Complex With Stalls,2079sqm Commercial Complex With Stalls/Commercial Property FOR Sale,"Academy Iwo Road Opposite Shafa Oil, Iwo Rd Ibadan Oyo",550000000,,,,03 Sep 2025,11 Nov 2025
1200sqm Plot Of Land,1200sqm Plot Of Land/Land FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",220000000,,,,29 Oct 2025,11 Nov 2025
Serviced Residential Land Measuring 600sqm,Serviced Residential Land Measuring 600sqm/Land FOR SALE,"Meadows Scheme 2, Magbon Alade Ibeju Lekki Lagos",48000000,,,,10 Oct 2025,11 Nov 2025
Land,Land/Land FOR Sale,Ikolaba Ibadan Oyo,75000000,,,,30 Aug 2025,11 Nov 2025
4 Bedroom Detached Duplex With Bq,4 Bedroom Detached Duplex With Bq/House FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",185000000,,,,16 Oct 2025,11 Nov 2025
500sqm Plot Of Land,500sqm Plot Of Land/Land FOR Sale,"Engr Lere Adigun Gra, Basorun Ibadan Oyo",95000000,,,,05 Oct 2025,11 Nov 2025
Commercial 4000sqm Of Land,Commercial 4000sqm Of Land/Land FOR Sale,"Near Foodco, Jericho Gra, Jericho Ibadan Oyo",600000000,,,,29 Sep 2025,11 Nov 2025
3 Bedroom Detached Bungalow,3 Bedroom Detached Bungalow/House FOR Sale,"Off Johnson Awe, Oluyole Estate Ibadan Oyo",75000000,3.0,,,25 Sep 2025,11 Nov 2025
1000sqm Of Land,1000sqm Of Land/Land FOR Sale,Baywood Agodi Garden Estate Akobo Ibadan Oyo,250000000,,,,28 Aug 2025,11 Nov 2025
750sqm Of Land,750sqm Of Land/Land FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",160000000,,,,27 Aug 2025,11 Nov 2025
5 Bedroom Detached Bungalow With Bq,5 Bedroom Detached Bungalow With Bq/House FOR Sale,"Awolowo, Old Bodija Ibadan Oyo",200000000,5.0,,,26 Sep 2025,11 Nov 2025
2 Bedroom Detached Duplex,2 Bedroom Detached Duplex/House FOR Sale,"Carlton Gate Estate, Akobo Ibadan Oyo",100000000,2.0,,,16 Sep 2025,11 Nov 2025
Land Measuring 550sqm,Land Measuring 550sqm/Land FOR Sale,Baywood Agodi Garden Estate Ibadan Oyo,125000000,,,,28 Aug 2025,11 Nov 2025
A 4 Bedroom Detached Duplex + Bq + Inverter,A 4 Bedroom Detached Duplex + Bq + Inverter/House FOR Sale,Blue Gate Estate Oluyole Estate Ibadan Oyo,310000000,4.0,,,04 Aug 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR SALE,Life Camp Abuja,47500000,2.0,2.0,,03 Oct 2025,11 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/House FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",270000000,4.0,,,02 Sep 2025,11 Nov 2025
5 Bedroom Duplex With Penthouse,5 Bedroom Duplex With Penthouse/House FOR Sale,Oluyole Oluyole Estate Ibadan Oyo,250000000,5.0,,,13 Sep 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq/solar Inverter,5 Bedroom Detached Duplex With Bq/solar Inverter/House FOR Sale,"Yemoja Street, Oluyole Estate Ibadan Oyo",465000000,5.0,5.0,,30 Oct 2025,11 Nov 2025
Land Measuring 500sqm,Land Measuring 500sqm/Land FOR Sale,"Kobiowu Crescent, Iyanganku Ibadan Oyo",180000000,,,,11 Oct 2025,11 Nov 2025
Commercial Building,Commercial Building/Commercial Property FOR Sale,Opposite Mende Mende Maryland Lagos,800000000,,,,18 Aug 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,"Providence Estate, Eleyele Ibadan Oyo",350000000,,,,11 Sep 2025,11 Nov 2025
Commercial 42 Office Building On 3829sqm,Commercial 42 Office Building On 3829sqm/Commercial Property FOR Sale,"Awolowo, Main Bodija Road, Bodija Ibadan Oyo",1000000000,,,,14 Sep 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR Sale,"Oladunni Ayandipo Street, New Bodija, Ibadan Oyo",180000000,5.0,,,06 Sep 2025,11 Nov 2025
545sqm Residential Plot Of Land,545sqm Residential Plot Of Land/Land FOR Sale,"Federal Agriculture Housing Estate, Beside Calton Gate Estate, Akobo Ibadan Oyo",65000000,,,,17 Sep 2025,11 Nov 2025
Super Luxury 5 Bedroom Duplex With Pool,Super Luxury 5 Bedroom Duplex With Pool/House FOR SALE,Orchid Lekki Lagos,680000000,5.0,5.0,,03 Nov 2025,11 Nov 2025
500sqm Plot Of Land,500sqm Plot Of Land/Land FOR Sale,"Kobiowu Crescent, Iyaganku Gra, Iyanganku Ibadan Oyo",200000000,,,,15 Sep 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,"Alpha Grace Estate, Nihort/ Jericho Ibadan Oyo",130000000,4.0,,,10 Oct 2025,11 Nov 2025
Land Measuring 1000sqm,Land Measuring 1000sqm/Land FOR Sale,Banana Island Victoria Island Lagos,3300000000,,,,28 Aug 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Kobiowu Estate Iyanganku Ibadan Oyo,300000000,4.0,,,28 Aug 2025,11 Nov 2025
4 Bedroom Detached Duplex With Bq/10kva Solar Inverter,4 Bedroom Detached Duplex With Bq/10kva Solar Inverter/House FOR Sale,"Yemoja Street, Oluyole Estate Ibadan Oyo",385000000,4.0,,,28 Oct 2025,11 Nov 2025
3 Bedroom Bungalow With Mini Flat Bq,3 Bedroom Bungalow With Mini Flat Bq/House FOR Sale,"Ikolaba/arisekola Street New Bodija, Ibadan Oyo",165000000,3.0,,,13 Oct 2025,11 Nov 2025
4 Bedroom Detached Bungalow With A Bq,4 Bedroom Detached Bungalow With A Bq/House FOR Sale,"Carlton Gate Estate, Akobo Ibadan Oyo",200000000,4.0,4.0,,19 Oct 2025,11 Nov 2025
Land,Land/Land FOR Sale,"Engr Lere Adigun Gra, Basorun Ibadan Oyo",210000000,,,,01 Sep 2025,11 Nov 2025
1000sqm Land,1000sqm Land/Land FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",180000000,,,,02 Oct 2025,11 Nov 2025
Units Of 5 Bedroom Terrace Duplex,Units Of 5 Bedroom Terrace Duplex/House FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Oyo",200000000,5.0,,,01 Sep 2025,11 Nov 2025
450sqm Plot Of Land,450sqm Plot Of Land/Land FOR Sale,"Tiger Mini Estate, Ojoo Ibadan Oyo",40000000,,,,18 Sep 2025,11 Nov 2025
3 Units Of 2 Bedroom Flats,3 Units Of 2 Bedroom Flats/House FOR SALE,"Akogi, Jankata Akala Express Ibadan Oyo",65000000,2.0,2.0,,20 Aug 2025,11 Nov 2025
3 Units Of 4 Bedroom Bungalow,3 Units Of 4 Bedroom Bungalow/House FOR Sale,"Kobe Street, Ring Rd Ibadan Oyo",270000000,,,,09 Sep 2025,11 Nov 2025
4 Bedroom Detached Bungalow,4 Bedroom Detached Bungalow/House FOR Sale,"Adeyi, Off Awolowo, Old Bodija Bodija Ibadan Oyo",170000000,4.0,,,28 Aug 2025,11 Nov 2025
Land,Land/Land FOR Sale,"Alapata, Elewuro, Akobo Ibadan Oyo",23000000,,,,23 Sep 2025,11 Nov 2025
1580sqm Land With A Detached Duplex And Bq,1580sqm Land With A Detached Duplex And Bq/House FOR Sale,"Kobiowu Crescent, Lyaganku Gra, Iyanganku Ibadan Oyo",420000000,,,,27 Aug 2025,11 Nov 2025
2 Bedroom Flat Units,2 Bedroom Flat Units/Flat Apartment FOR Sale,"Behind Foodco, Ringroad Ring Rd Ibadan Oyo",65000000,2.0,2.0,,22 Sep 2025,11 Nov 2025
517sqm Commercial Land,517sqm Commercial Land/Land FOR Sale,"Along Kolapo Ishola Gra, Akobo Ibadan Oyo",150000000,,,,29 Aug 2025,11 Nov 2025
Exclusive 2 Bedroom Penthouse,Exclusive 2 Bedroom Penthouse/Flat Apartment FOR Sale,"Osapa London Lekki, Creeklane Estate By Pinnock Beach Estate Ajiran Road. Osapa London Lekki Lagos",250000000,2.0,,,16 Oct 2025,11 Nov 2025
5 Bedroom Fully Detach House,5 Bedroom Fully Detach House/House FOR Sale,Omole Phase 1 Ojodu Lagos,500000000,5.0,,,23 Sep 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,320000000,4.0,,,05 Sep 2025,11 Nov 2025
1 Bedroom (december Rate),1 Bedroom (december Rate)/Flat / Apartment FOR SHORTLET,Lekki Phase 1 Lekki Lagos,170000/day,1.0,1.0,,02 Oct 2025,12 Nov 2025
2 Units Of 4 Bedroom Semi Detached Duplex,2 Units Of 4 Bedroom Semi Detached Duplex/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,370000000,4.0,,,30 Aug 2025,11 Nov 2025
Premium 5 Bedroom Fully Detached Duplex With Bq,Premium 5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,500000000,5.0,,,22 Aug 2025,11 Nov 2025
4 Bedroom Semi Detached House,4 Bedroom Semi Detached House/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,310000000,4.0,,,23 Sep 2025,11 Nov 2025
Spacious 5 Bedroom Fully Detached With Bq,Spacious 5 Bedroom Fully Detached With Bq/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,400000000,5.0,,,22 Aug 2025,11 Nov 2025
4 Bedroom Terraced Duplex With Bq,4 Bedroom Terraced Duplex With Bq/House FOR Sale,Adeniyi Jones Ikeja Lagos,275000000,4.0,,,28 Sep 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Magodo Kosofe Ikosi Lagos,650000000,5.0,,,04 Sep 2025,11 Nov 2025
Exclusive 5 Bedroom Fully Detached Duplex With Bq,Exclusive 5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Omole Phase 2 Ojodu Lagos,600000000,5.0,,,23 Aug 2025,11 Nov 2025
4 Bedroom Detached Duplex,4 Bedroom Detached Duplex/House FOR Sale,Maryland Ikeja Lagos,300000000,4.0,,,09 Sep 2025,11 Nov 2025
2 Bedroom &1bedroom Apartment,2 Bedroom &1bedroom Apartment/Flat Apartment FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,85000000,2.0,,,23 Sep 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex,4 Bedroom Fully Detached Duplex/House FOR Sale,Magodo Gra Phase 1 Magodo Kosofe Ikosi Lagos,500000000,4.0,,,11 Sep 2025,11 Nov 2025
5 Bedroom Fully Detached With Bq,5 Bedroom Fully Detached With Bq/House FOR Sale,Magodo Gra Phase 2 Kosofe Ikosi Lagos,700000000,5.0,,,14 Oct 2025,11 Nov 2025
Contemporary 5 Bedroom Detached Duplex With Bq,Contemporary 5 Bedroom Detached Duplex With Bq/House FOR SALE,Chevron Lekki Lagos,600000000,5.0,5.0,,10 Oct 2025,11 Nov 2025
Offplan 3 Bedroom Apartment With Bq,Offplan 3 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Allen Avenue Ikeja Lagos,210000000,3.0,,,17 Oct 2025,11 Nov 2025
Modern 4 Bedroom Fully Detached Duplex With Bq,Modern 4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Omole Phase 2 Ojodu Lagos,500000000,4.0,,,22 Aug 2025,11 Nov 2025
5 Bedroom Semi Detached Duplex,5 Bedroom Semi Detached Duplex/House FOR Sale,Ikeja Gra Ikeja Lagos,750000000,5.0,,,27 Sep 2025,11 Nov 2025
3 Bedroom Apartment With Bq + Payment Plan,3 Bedroom Apartment With Bq + Payment Plan/Flat Apartment FOR Sale,Adeniyi Jones Ikeja Lagos,295000000,3.0,3.0,,09 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR Sale,Adeniyi Jones Ikeja Lagos,650000000,5.0,,,28 Sep 2025,11 Nov 2025
Luxury 5 Bedroom Fully Detached Duplex With Bq,Luxury 5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Adeniyi Jones Ikeja Lagos,650000000,5.0,,,28 Sep 2025,11 Nov 2025
5 Bedroom Semi Detached Duplex With Bq,5 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Omole Phase 1 Ojodu Lagos,450000000,5.0,,,19 Aug 2025,11 Nov 2025
"3 Bedroom Apartment With Bq,elevator And Pool","3 Bedroom Apartment With Bq,elevator And Pool/Flat Apartment FOR Sale",Ikeja Gra Ikeja Lagos,350000000,3.0,,,20 Aug 2025,11 Nov 2025
Offplan 2 Bedroom Apartment,Offplan 2 Bedroom Apartment/Flat Apartment FOR Sale,Adeniyi Jones Ikeja Lagos,160000000,2.0,,,02 Sep 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR SALE,Stargate Oluyole Estate Ibadan Oyo,220000000,,,,26 Jun 2025,11 Nov 2025
Modern 3 Bedroom Apartment With Bq,Modern 3 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Adeniyi Jones Ikeja Lagos,265000000,3.0,,,16 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,"Gateway Zone, Magodo Phase 1 Magodo Kosofe Ikosi Lagos",260000000,4.0,,,11 Sep 2025,11 Nov 2025
Exclusive 4 Bedroom Terraced Duplex With Bq,Exclusive 4 Bedroom Terraced Duplex With Bq/House FOR Sale,Adeniyi Jones Ikeja Lagos,325000000,4.0,,,13 Oct 2025,11 Nov 2025
3 Bedroom Apartment With Bq And Elevator,3 Bedroom Apartment With Bq And Elevator/Flat Apartment FOR Sale,Ikeja Gra Ikeja Lagos,375000000,3.0,,,20 Aug 2025,11 Nov 2025
4 Bedroom Fully Detached,4 Bedroom Fully Detached/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,470000000,4.0,,,30 Aug 2025,11 Nov 2025
Ultra Modern 5 Bedroom Fully Detached Duplex With Bq,Ultra Modern 5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Omole Phase 2 Ojodu Lagos,550000000,5.0,,,22 Aug 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,"Magodo Phase 1, Magodo Kosofe Ikosi Lagos",285000000,4.0,,,09 Sep 2025,11 Nov 2025
Contemporary 4 Bedroom Semi Detached Duplex With Bq,Contemporary 4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Phase 1 Magodo Kosofe Ikosi Lagos,240000000,4.0,,,03 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached Duplex,Newly Built 5 Bedroom Fully Detached Duplex/House FOR Sale,Omole Phase 1 Ojodu Lagos,550000000,5.0,,,20 Aug 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Omole Phase 1 Ojodu Lagos,570000000,5.0,,,19 Aug 2025,11 Nov 2025
Exclusive 4 Bedroom Massionette With Bq,Exclusive 4 Bedroom Massionette With Bq/House FOR Sale,Opebi Ikeja Lagos,420000000,4.0,,,08 Oct 2025,11 Nov 2025
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/Flat / Apartment FOR SALE,By Dunamis Durumi Abuja,75000000,2.0,2.0,,25 Jul 2025,11 Nov 2025
Offplan 5 Bedroom Detached Duplex,Offplan 5 Bedroom Detached Duplex/House FOR Sale,Ikeja Gra Ikeja Lagos,700000000,5.0,,,27 Sep 2025,11 Nov 2025
4 Bedroom Terrace Duplex,4 Bedroom Terrace Duplex/House FOR Sale,Ikeja Gra Ikeja Lagos,350000000,4.0,,,27 Sep 2025,11 Nov 2025
"Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym","Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym/House FOR Sale",Adeniyi Jones Ikeja Lagos,395000000,4.0,5.0,,07 Oct 2025,11 Nov 2025
3 Bedroom Apartment With Bq,3 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Opebi Ikeja Lagos,270000000,3.0,,,08 Oct 2025,11 Nov 2025
Offplan 5 Bedroom Detached Duplex With Bq,Offplan 5 Bedroom Detached Duplex With Bq/House FOR Sale,Ikeja Gra Ikeja Lagos,720000000,5.0,5.0,,26 Sep 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Magodo Phase 1 Magodo Kosofe Ikosi Lagos,240000000,4.0,,,05 Sep 2025,11 Nov 2025
450sqm Dry Land,450sqm Dry Land/Land FOR Sale,Tiger Estate Ojoo Ibadan Oyo,40000000,,,,21 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,"Association Street, Ashi Bodija, Ibadan Oyo",170000000,4.0,4.0,,15 Oct 2025,11 Nov 2025
Land,Land/Land FOR Sale,"Kobiowu Crescent, Iyanganku Ibadan Oyo",180000000,,,,15 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR SALE,Ikota Lekki Lagos,180000000,4.0,4.0,,06 Oct 2025,11 Nov 2025
580sqm Land,580sqm Land/Land FOR Sale,"Omololu Olunloyo Gra, Ring Rd Ibadan Oyo",20000000,,,,06 Oct 2025,11 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/House FOR Sale,"Kolapo Ishola Gra, Phase 2, Akobo Akobo Ibadan Oyo",230000000,4.0,4.0,,02 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Fully Detached Duplex,Newly Built 4 Bedroom Fully Detached Duplex/House FOR Sale,"Hallmark (palace Estate), Oke’badan Estate, Alao Akala Way, Akobo Ibadan Oyo",130000000,4.0,4.0,,30 Oct 2025,11 Nov 2025
4 Bedroom Bungalow,4 Bedroom Bungalow/House FOR Sale,"Yanbule Estate, Olorunsogo Layout, Opp. Ashi Junction, Before Akobo Bridge, Bashorun Akobo Road, Ibadan Basorun Ibadan Oyo",75000000,4.0,4.0,,02 Oct 2025,11 Nov 2025
Luxury New 2 Bedroom Duplex,Luxury New 2 Bedroom Duplex/House FOR Sale,"Carlton Gate Estate, Akobo Ibadan Oyo",100000000,2.0,2.0,,15 Oct 2025,11 Nov 2025
Affordable Luxury Land,Affordable Luxury Land/Land FOR Sale,"Tiger Estate, Phase 3, Ojoo Iwo Road, Ojoo Ibadan Oyo",45000000,,,,15 Oct 2025,11 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/House FOR Sale,Close To Turkey Hospital Idu Abuja,50000000,4.0,5.0,,05 Sep 2025,11 Nov 2025
Land,Land/Land FOR Sale,Close To Gilmore Junction Jahi Abuja,4400000000,,,,06 Aug 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,River Packs Lugbe Abuja,320000000,4.0,4.0,,30 Aug 2025,11 Nov 2025
Distress 7units Of 5bedroom Terraces Duplexes +bq,Distress 7units Of 5bedroom Terraces Duplexes +bq/House FOR Sale,Close To Nnpc Guzape Abuja,2500000000,,,,15 Jul 2025,11 Nov 2025
10units Of 4bedroom Uncompleted Terrace Duplex,10units Of 4bedroom Uncompleted Terrace Duplex/House FOR Sale,Diplomatic Zone Katampe Ext Abuja,3000000000,,,,08 Sep 2025,11 Nov 2025
Offplan 3 Bedroom Apartment With Bq,Offplan 3 Bedroom Apartment With Bq/Flat / Apartment FOR SALE,Allen Avenue Ikeja Lagos,210000000,3.0,,,17 Oct 2025,11 Nov 2025
4 Bedroom Duplex With Bq,4 Bedroom Duplex With Bq/House FOR Sale,Close To Sunnyvall Lokogoma Abuja,230000000,4.0,4.0,,15 Aug 2025,11 Nov 2025
Newly Built 6 Bedroom Detached Duplex With Bq,Newly Built 6 Bedroom Detached Duplex With Bq/House FOR Sale,"Close To Vio, Mabushi Abuja",655000000,5.0,5.0,,15 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Detached Duplex With Bq,Newly Built 5 Bedroom Detached Duplex With Bq/House FOR Sale,Mai Mabushi Abuja,500000000,5.0,5.0,,15 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Terraced Duplex With Bq,Newly Built 4 Bedroom Terraced Duplex With Bq/House FOR Sale,"Gilmore Junction, Jahi Abuja",260000000,4.0,4.0,,28 Sep 2025,11 Nov 2025
Luxurious 4bedrooms Terraces Duplexes With Bq,Luxurious 4bedrooms Terraces Duplexes With Bq/House FOR Sale,Main Guzape Abuja,350000000,4.0,4.0,,30 Jul 2025,11 Nov 2025
Luxurious 5bedrooms Detached Duplexes +3bq & Pool,Luxurious 5bedrooms Detached Duplexes +3bq & Pool/House FOR Sale,Close To Nnpc Guzape Abuja,2800000000,5.0,5.0,,06 Jul 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Close To H Medix Guzape Abuja,580000000,5.0,5.0,,08 Sep 2025,11 Nov 2025
6 Unit Of 6 Bedroom Semi Detached Duplex With Bq,6 Unit Of 6 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Close To Ecobank Jabi Abuja,3500000000,,,,29 Aug 2025,11 Nov 2025
Luxurious 4 Bedroom Detached Duplex With Bq/pool,Luxurious 4 Bedroom Detached Duplex With Bq/pool/House FOR Sale,"Close To Sunnyvale Estate, Galadinmawa Abuja",480000000,5.0,5.0,,15 Oct 2025,11 Nov 2025
Contemporary 4 Bedroom Fully Detached Duplex,Contemporary 4 Bedroom Fully Detached Duplex/House FOR SALE,Ajah Lekki Lagos,280000000,4.0,4.0,,31 Oct 2025,11 Nov 2025
Luxurious 5 Bedroom Detached Duplex With Bq,Luxurious 5 Bedroom Detached Duplex With Bq/House FOR Sale,"Close To Fairview School, Guzape Abuja",2500000000,5.0,5.0,,05 Oct 2025,11 Nov 2025
37 Shops,37 Shops/Commercial Property FOR Sale,Zone 1 Wuse 1 Abuja,3500000000,,,,19 Sep 2025,11 Nov 2025
4 Bedroom Terraced Duplex With Bq,4 Bedroom Terraced Duplex With Bq/House FOR Sale,Close To Nnpc Guzape Abuja,350000000,4.0,4.0,,09 Sep 2025,11 Nov 2025
Luxurious 4 Bedroom Terraced Duplex With Bq,Luxurious 4 Bedroom Terraced Duplex With Bq/House FOR Sale,Main Katampe Main Abuja,285000000,4.0,4.0,,15 Oct 2025,11 Nov 2025
"1unit 3bedroom 4units 2bedroom 2units 1bedroom, +bq","1unit 3bedroom 4units 2bedroom 2units 1bedroom, +bq/House FOR Sale",Zone4 Wuse 1 Abuja,750000000,,,,07 Aug 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,"Close To Sunnyvell, Lokogoma Abuja",260000000,4.0,4.0,,02 Aug 2025,11 Nov 2025
5 Bedroom Duplex,5 Bedroom Duplex/House FOR Sale,Diplomatic Zone Katampe Ext Abuja,350000000,,,,16 Sep 2025,11 Nov 2025
2 Units Of 7 Bedroom Detached Duplex,2 Units Of 7 Bedroom Detached Duplex/House FOR Sale,Lake Chad Maitama Abuja,4000000000,,,,06 Aug 2025,11 Nov 2025
4 Bedroom Detached Duplex With Bq,4 Bedroom Detached Duplex With Bq/House FOR Sale,Diplomatic Zone Katampe Ext Abuja,350000000,4.0,4.0,,02 Jul 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq,5 Bedroom Detached Duplex With Bq/House FOR Sale,National Assembly By Nepal Junction Apo Abuja,240000000,5.0,5.0,,12 Sep 2025,11 Nov 2025
