title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
4 bedroom penthouse with bq,4 bedroom penthouse with bq/house for sale,"agodi gra, ibadan oyo",320000000.0,4.0,4.0,,2025-11-07,12 Nov 2025,Oyo,80000000.0,High,2025-11,house
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,ikota lekki lagos,180000000.0,4.0,4.0,,2025-10-06,11 Nov 2025,Lagos,45000000.0,High,2025-10,semi detached duplex
1200sqm land with 5 bedroom bungalow and 2 bq,1200sqm land with 5 bedroom bungalow and 2 bq/house for sale,"bashorun housing estate, akobo ibadan oyo",160000000.0,5.0,6.0,,2025-11-03,12 Nov 2025,Oyo,32000000.0,High,2025-11,land
5 bedroom penthouse with bq,5 bedroom penthouse with bq/house for sale,engr lere adigun gra basorun ibadan oyo,450000000.0,5.0,5.0,,2025-11-07,12 Nov 2025,Oyo,90000000.0,High,2025-11,house
5 bedroom fully detached duplex with bq,5 bedroom fully detached duplex with bq/house for sale,kolapo ishola gra akobo ibadan oyo,365000000.0,5.0,5.0,,2025-11-07,12 Nov 2025,Oyo,73000000.0,High,2025-11,fully detached
584sqm of land,584sqm of land/land for sale,basorun ibadan oyo,60000000.0,,,,2025-11-07,12 Nov 2025,Oyo,,High,2025-11,land
4 bedroom semi detached modern duplex,4 bedroom semi detached modern duplex/house for sale,"kolapo ishola gra, akobo ibadan akobo ibadan oyo",230000000.0,4.0,4.0,,2025-11-08,12 Nov 2025,Oyo,57500000.0,High,2025-11,semi detached duplex
613sqm fenced and gated land,613sqm fenced and gated land/land for sale,"carlton gate estate, general gas, akobo ibadan oyo",130000000.0,,,,2025-11-10,12 Nov 2025,Oyo,,High,2025-11,land
newly built 4 bedroom terrace duplex,newly built 4 bedroom terrace duplex/house for sale,kolapo ishola gra akobo ibadan oyo,200000000.0,4.0,4.0,,2025-11-11,12 Nov 2025,Oyo,50000000.0,High,2025-11,house
newly built 3 bedroom apartment,newly built 3 bedroom apartment/flat apartment for sale,kolapo ishola gra akobo ibadan oyo,130000000.0,3.0,3.0,,2025-11-12,12 Nov 2025,Oyo,43333333.333333336,High,2025-11,flat/apartment
residential land,residential land/land for sale,"agbowa, ikorodu lagos",1500000.0,,,,2025-10-29,12 Nov 2025,Lagos,,Low,2025-10,land
land measuring 500sqm,land measuring 500sqm/land for sale,bogije opposite beechwood estate eputu ibeju lekki lagos,6500000.0,,,,2025-10-31,12 Nov 2025,Lagos,,Low,2025-10,land
newly built 2 bedroom flat,newly built 2 bedroom flat/house for sale,freedom way lekki phase 1 lekki lagos,190000000.0,2.0,2.0,,2025-11-05,11 Nov 2025,Lagos,95000000.0,High,2025-11,flat/apartment
3 units of terrace duplexes of 4 bedrooms,3 units of terrace duplexes of 4 bedrooms/house for sale,alao akala gra akobo ibadan oyo,250000000.0,4.0,4.0,,2025-08-20,11 Nov 2025,Oyo,62500000.0,High,2025-08,house
newly built 5 bedroom fully detached house with bq,newly built 5 bedroom fully detached house with bq/house for sale,ologolo lekki lagos,290000000.0,5.0,5.0,,2025-11-08,11 Nov 2025,Lagos,58000000.0,High,2025-11,fully detached
5 bedroom flat,5 bedroom flat/house for sale,idado lekki lagos,550000000.0,5.0,5.0,,2025-11-08,11 Nov 2025,Lagos,110000000.0,High,2025-11,flat/apartment
newly built 5 bedroom fully detached house,newly built 5 bedroom fully detached house/house for sale,royal garden estate ajah lagos,600000000.0,5.0,5.0,,2025-11-08,11 Nov 2025,Lagos,120000000.0,High,2025-11,fully detached
4 bedroom semi detached duplex with bq,4 bedroom semi detached duplex with bq/house for sale,idado lekki lagos,250000000.0,4.0,4.0,,2025-11-07,11 Nov 2025,Lagos,62500000.0,High,2025-11,semi detached duplex
spacious 5 bedroom fully detached house with pool,spacious 5 bedroom fully detached house with pool/house for sale,"royal garden estate, ajah lagos",750000000.0,5.0,5.0,,2025-11-10,11 Nov 2025,Lagos,150000000.0,High,2025-11,fully detached
5 bedroom fully detached house with pool,5 bedroom fully detached house with pool/house for sale,chevron lekki lagos,1500000000.0,5.0,5.0,,2025-11-06,11 Nov 2025,Lagos,300000000.0,High,2025-11,fully detached
newly built 3 bedroom flat,newly built 3 bedroom flat/house for sale,freedom way lekki phase 1 lekki lagos,300000000.0,3.0,3.0,,2025-11-05,11 Nov 2025,Lagos,100000000.0,High,2025-11,flat/apartment
newly built 2 bedroom flat,newly built 2 bedroom flat/house for sale,spg road igbo efon lekki lagos,95000000.0,2.0,2.0,,2025-11-11,11 Nov 2025,Lagos,47500000.0,High,2025-11,flat/apartment
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,old ikoyi ikoyi lagos,5752000000.0,5.0,5.0,,2025-11-08,11 Nov 2025,Lagos,1150400000.0,High,2025-11,detached duplex
3 bedroom flat,3 bedroom flat/flat apartment for sale,yabatech gra yaba lagos,130000000.0,3.0,,,2025-09-08,11 Nov 2025,Lagos,43333333.333333336,High,2025-09,flat/apartment
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,gbagada lagos,160000000.0,4.0,,,2025-09-04,11 Nov 2025,Lagos,40000000.0,High,2025-09,semi detached duplex
luxurious fully furnished 4bedroom flat,luxurious fully furnished 4bedroom flat/house for sale,soluyi gbagada lagos,140000000.0,4.0,4.0,,2025-09-08,11 Nov 2025,Lagos,35000000.0,High,2025-09,flat/apartment
luxurious standard 3bedroom flat,luxurious standard 3bedroom flat/flat apartment for sale,opebi ikeja lagos,150000000.0,3.0,3.0,,2025-09-15,11 Nov 2025,Lagos,50000000.0,High,2025-09,flat/apartment
